Patente;Nro;FECHA;Kms.;MOTIVO;DESCRIPCIÓN;LUGAR;FACTURA Nro.;FECHA DE PAGO;MONTO;OBSERVACIONES;
AF086CU;111;16/1/2025;140.000;REPARACION;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002548;12/5/2025;$ 445.467,14;;
AF333BU;112;14/1/2025;160.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 160.000 KM ;RENAULT - LOMAS;0045-00002427;12/3/2025;$ 485.220,02;;
AF452DA;113;13/1/2025;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002428;12/3/2025;$ 620.888,05;;
AG278OZ;114;13/1/2025;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002430;12/3/2025;$ 620.888,00;;
AF481PB;115;6/1/2025;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002413;12/3/2025;$ 620.888,00;;
AF481OU;116;3/1/2025;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002412;12/3/2025;$ 277.204,01;;
AF047UX;117;31/12/2024;100.900;SERVICIO;REPARACION DE A/A;RENAULT - LOMAS;0045-00002406;7/2/2025;;;
AG059DJ;118;26/12/2024;120.000;REPARACION;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002404;7/2/2025;$ 613.764,01;;
AF571RX;119;23/12/2024;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002400;7/2/2025;$ 613.764,01;;
AG315HG;120;23/12/2024;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002398;7/2/2025;$ 403.479,99;;
AG445AI;121;11/12/2024;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002388;7/2/2025;$ 354.424,02;;
AF047UR;122;10/12/2024;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002387;7/2/2025;$ 354.424,00;;
AF481PH;123;9/12/2024;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002385;7/2/2025;$ 354.424,00;;
AF757AU;124;5/12/2024;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002381;7/2/2025;$ 613.764,01;;
AF047UQ;125;3/12/2024;160.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 160.000 KM ;RENAULT - LOMAS;0045-00002378;7/2/2025;$ 390.272,00;;
AF047UX;126;3/12/2024;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002373;7/2/2025;$ 390.272,00;;
AF857HF;127;3/12/2024;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002376;7/2/2025;$ 613.764,01;;
AG315HD;128;2/12/2024;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002372;7/2/2025;$ 390.272,00;;
AG278OY;129;29/11/2024;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002366;30/12/2024;$ 388.184,00;;
AG366YT;130;28/11/2024;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002367;30/12/2024;$ 388.184,00;;
AG196ZQ;131;28/11/2024;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002368;30/12/2024;$ 602.552,02;;
AG196ZP;132;27/11/2024;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002359;30/12/2024;$ 602.552,02;;
AG315HB;133;27/11/2024;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002358;30/12/2024;$ 388.184,00;;
